Name,Type,Latitude,Longitude,Location,wikilink,pic,Year
Porcelain Tower of Nanjing,Medieval,32.08027778,118.73,China,http://en.wikipedia.org/wiki/Porcelain_Tower_of_Nanjing,https://th.bing.com/th/id/R.3bebf3a3372bb93975c27843f9a433d3?rik=yQOxGkRY6foIYA&riu=http%3a%2f%2fwww.familyholiday.net%2fwp-content%2fuploads%2f2011%2f06%2f1925819599210650.jpg&ehk=X5EoqVyBLw8XaZPQCKK9l4AI45njm%2bLTV5%2bU5zsR3i0%3d&risl=&pid=ImgRaw&r=0,1412
Machu Picchu,New7Wonders Foundation,-12.83666667,-72.54555556,"Cuzco Region, Peru",http://en.wikipedia.org/wiki/Machu_Picchu,https://th.bing.com/th/id/OIP.f4MYF3S5wUG78sHpggZ4mwHaFj?rs=1&pid=ImgDetMain,1450 AD
Christ the Redeemer,New7Wonders Foundation,-21.04805556,-43.21055556,Brazil,http://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue),https://th.bing.com/th/id/OIP.wUUIC6ySXcodpZO7BSgu1gHaE7?rs=1&pid=ImgDetMain,1922
Colosseum,New7Wonders Foundation,41.89,12.49222222,"Rome, Italy",http://en.wikipedia.org/wiki/Colosseum,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Colosseum_in_Rome%2C_Italy_-_April_2007.jpg/250px-Colosseum_in_Rome%2C_Italy_-_April_2007.jpg,80 AD
Great Pyramid of Giza,New7Wonders Foundation,29.97916667,31.13416667,"Giza Necropolis, Egypt",http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg,2560 BC
Petra,New7Wonders Foundation,30.32861111,35.44194444,"Ma'an, Jordan",http://en.wikipedia.org/wiki/Petra,https://th.bing.com/th/id/OIP.W_6U-wREt5f-Z-uY-HhbDgHaDd?rs=1&pid=ImgDetMain,312 BC
Taj Mahal,New7Wonders Foundation,27.175,78.04194444,"Agra, Uttar Pradesh, India",http://en.wikipedia.org/wiki/Taj_Mahal,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/800px-Taj_Mahal_%28Edited%29.jpeg,1643 AD
Paricutin,Seven Natural Wonders of the World,19.49277778,-102.2508333,Mexico,http://en.wikipedia.org/wiki/Par%C3%ADcutin,https://th.bing.com/th/id/OIP.eeL8eGG29yYfRD85LNieqgHaE8?rs=1&pid=ImgDetMain,1943
Grand Canyon,Seven Natural Wonders of the World,36.1,-112.1,"Arizona, United States",http://en.wikipedia.org/wiki/Grand_Canyon,https://th.bing.com/th/id/OIP.bVBBBbCvJ5IxCjKxs2bZuwAAAA?rs=1&pid=ImgDetMain,Natural
Aurora,Seven Natural Wonders of the World,80.0,0.0,Poles,http://en.wikipedia.org/wiki/Aurora,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Aurora_australis_20050911.jpg/220px-Aurora_australis_20050911.jpg,Natural
Guanabara Bay,Seven Natural Wonders of the World,-21.20972222,-43.15555556,Brazil,http://en.wikipedia.org/wiki/Guanabara_Bay,https://th.bing.com/th/id/OIP.uClsp-dDaLUMLmSuUChyiAHaEK?rs=1&pid=ImgDetMain,Natural
Victoria Falls,Seven Natural Wonders of the World,-16.07555556,25.85666667,Livingstone Zambia,http://en.wikipedia.org/wiki/Victoria_Falls,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Victoriaf%C3%A4lle.jpg/220px-Victoriaf%C3%A4lle.jpg,Natural
Mount Everest,Seven Natural Wonders of the World,27.98805556,86.92527778,Nepal,http://en.wikipedia.org/wiki/Mount_Everest,https://www.thoughtco.com/thmb/esfxRGAAqEmPET82KzVdVSA6aA0=/2122x1415/filters:no_upscale():max_bytes(150000):strip_icc()/MountEverest_PhFengWei_Getty2-56a16b185f9b58b7d0bf2e87.jpg,Natural
Great Barrier Reef,Seven Natural Wonders of the World,-17.71388889,147.7,"Queensland, Australia",http://en.wikipedia.org/wiki/Great_Barrier_Reef,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Map_of_Great_Barrier_Reef_Demis.png/250px-Map_of_Great_Barrier_Reef_Demis.png,Natural
Hoover Dam,Seven Wonders of the Industrial World,36.01555556,-114.7377778,"Nevada, United States",http://en.wikipedia.org/wiki/Hoover_Dam,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ansel_Adams_-_National_Archives_79-AAB-01.jpg/220px-Ansel_Adams_-_National_Archives_79-AAB-01.jpg,1931
